"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
18519400;E-613144;L?mpara Etna Schuller - Lampara 6 luces pantallas;1;274.00;359,00;
18520570;174213;Plafon Andromeda Schuller - Pantalla abalorios - LED;11;187.00;;8435435301224
18520573;174631;Aplique Andromeda Schuller - Bolas cromo - LED;42;110.00;;8435435301255
18521192;E-147538;Sobremesa Elsa Schuller - Pan de plata pantalla;0;158.00;;
18522497;E-357586;Sobremesa perro ver Puppy - Schuller;20;30.00;45,00;
18522585;E-357591;Sobremesa perro azul Puppy - Schuller;4;35.00;;
18522635;840842/2061;Mesa centro Time Schuller - cristal pata ondas;12;797.00;;
18522826;E-471619;Aplique Mol schuller - 6 luces LED;1;111.00;134,00;
18523091;821629;Mesa Calima Schuller - Mueble auxiliar acero 60 cm;9;422.00;;8435435310929
18523138;821437;Consola Calima Schuller - Acero inoxidable;32;893.00;;8435435310912
18523139;E-256023;Mecedora Ibiza Schuller - Mecedora exterior negra;1;139.05;204,49;
18523827;174414;Sobremesa Andromeda Schuller - cromo pantalla - LED;30;115.00;;8435435301231
18523953;174112;Lampara Andromeda Schuller - Colgante ?60cm - LED;18;466.00;;8435435323615
18524808;174011;Lampara Andromeda Schuller - Colgante ?45cm - LED;26;264.00;;8435435301200
18524906;586423bl;Sobremesa Blanco Cargador Movil con altavoz - Schuller;0;79.96;135,52;
18524908;586423ng;Sobremesa Negro Cargador Movil con altavoz - Schuller;0;79.96;135,52;
18524979;664443/7376;Sobremesa Terra Schuller - Pan de oro pantalla - LED;1;173.00;;8435435322953
18526139;661530p-ca;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;115.00;;
18526141;661530p-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;120.00;;
18526142;661530o-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;130.00;;
18526143;661530m-p;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;144.00;;
18526146;661530c-c;SOBREMESA SERIE DECO. Oro/Plata/Marron;0;144.00;;
18528082;664228;Lampara Deco Schuller - Pan de plata pantalla - LED;1;187.00;;
18528358;E-463613;Lampara Luppo Schuller - Lineal abalorios cristal - LED;1;229.00;425,00;
18593248;508030;Plafon Argos Schuller - Plafon ?50cm espejo Argos;91;432.00;475,00;8435435323783
18593252;508718;Colgante Argos Schuller - Lampara de ?40cm LED;140;278.00;317,00;8435435305260
18593253;508111;Colgante Argos Schuller - Lampara de ?50cm LED;114;446.00;;8435435305208
18593258;509010;Colgante Argos Schuller - Colgante de ?22cm LED;119;106.00;125,00;8435435305291
18593261;508222;Sobremesa Argos Schuller - Tulipa espejo grande - LED;45;317.00;;8435435305215
18593279;508516;Sobremesa Argos Schuller - Tulipa espejo peque?o - LED;18;187.00;211,00;8435435305246
18593293;509213;Lampara Argos Schuller - Lampara linea 3 tulipas - LED;12;307.00;374,00;8435435305307
18593317;509327;Aplique Argos Schuller -Tulipa Espejo;55;134.00;;8435435305314
18593623;876241;Colgante Ariadna Schuller - Transparente. 2 tama?os;0;451.00;;8435435323981
18593624;876113;Colgante Ariadna Schuller - Transparente. 2 tama?os;8;557.00;;8435435323868
18593627;876295;Colgante Ariadna Schuller - champagne ?53cm;0;389.00;;
18593628;876124;Colgante Ariadna Schuller - champagne ?66cm;8;667.00;;8435435311469
18593632;876352;Plaf?n Ariadna Schuller - transparente 53 cm LED;15;408.00;;8435435323998
18593635;876360;Plaf?n Ariadna Schuller - Cristales champagne 53 cm - LED;5;432.00;;8435435324001
18594519;193091;Aplique Arian Schuller - tulipa espejo - LED;144;72.00;;8435435313012
18594540;193273;L?mpara Arian Schuller - 1 Colgante espejo - LED;123;72.00;;8435435313036
18594553;193364;L?mpara Arian Schuller - 5 Colgantes espejo - LED;56;269.00;;8435435323646
18594557;193453;L?mpara Arian Schuller - 7 Colgantes espejo - LED;103;365.00;;8435435323653
18594564;193539;Lampara Arian Schuller - 5 colgantes espejo - LED;9;269.00;;8435435313067
18594649;874426;Lampara Aruma Schuller - 2 barras LED;2;595.00;;8435435315221
18595365;696318;Plaf?n Bruma Schuller - Semiplaf?n almendros LED;30;1051.00;;8435435312121
18595381;860218;Colgante Bubble Schuller - Tulipa doble luz LED;87;106.00;;8435435314149
18595387;E-860117;Lampara Bubble Schuller - 4 colgantes en linea - LED;3;374.00;;
18595408;E-735836;Lampara Coras Schuller - Colgante blanco y plata - LED;1;259.00;394,00;
18599006;827523;Sobremesa Cosmo Schuller - Cromo 2 barras LED;33;158.00;;8435435313371
18599029;827746;Colgante Cosmos Schuller - Cromo luz LED;14;101.00;;
18616564;E-827968;Lampara Cosmo schuller - 3 Barras de luz LED;1;370.00;;
18616578;827635;L?mpara de pie Cosmo Schuller - 2 barras LED;30;374.00;;8435435313388
18616789;152461;Colgante Cronos Schuller - Cromo ?60cm LED;15;389.00;;8435435322823
18623316;183653;Aplique Cube Schuller - 1 luz LED;33;58.00;;8435435301361
18623325;183542;Sobremesa serie Cube Schuller - Tulipa blanca - LED;59;62.00;;8435435301354
18623346;183320;Plaf?n Cube Schuller - 4 luces tulipas doble - LED;20;178.00;;8435435301330
18623354;183431;Lampara Cube Schuller - 4 tulipas en linea - LED;15;173.00;;8435435301347
18623380;571034G9;Aplique Cubic Schuller - 2 luces cristal - LED;41;120.00;;8435435313593
18623830;508323;Aplique Diamond Schuller - Abalorios cristal;8;130.00;;8435435305222
18623878;508931;L?mpara de pie Diamond Schuller - Abalorios - LED;8;475.00;;8435435324032
18623895;507413;Colgante Diamond Schuller - Abalorios cristal - 24cm LED;36;149.00;;8435435305154
18623899;507514;Lampara Diamond Schuller - Abalorios cristal - 54cm LED;9;557.00;;8435435305161
18623910;E-508821;Lampara Diamond Schuller - Ovalada cristal - LED;-1;445.00;571,00;8435435305277
18623917;507039;Plaf?n Diamond Schuller - Abalorios cristal - 2 tama?os;13;302.00;;8435435305130
18623918;507130;Plaf?n Diamond Schuller - Abalorios cristal - 2 tama?os;26;442.00;;8435435305147
18625074;49441583/7611;Lampara Domo Schuller - Colgante pantalla blanca - LED;2;638.00;;8435435304935
18625163;69441581/7608;Plafon Domo Schuller - Cadenas pantalla blanca;41;437.00;475,00;8435435307950
18625168;89431589/7443;Aplique Domo Schuller - Pantalla Beige LED;21;240.00;;8435435311599
18625453;506736;Plaf?n Eclipse Schuller - 4 luces tulipas doble - LED;123;168.00;;8435435305116
18625483;506847;Aplique Eclipse Schuller - Doble tulipa bola - Luz LED;137;48.00;;8435435305123
18625562;506514;Lampara Eclipse Schuller - 4 tulipas en linea - LED;95;178.00;;8435435305093
18625610;506625;Sobremesa Eclipse Schuller - Cromo bola - LED;58;53.00;;8435435324018
18630926;711021;Aplique Eloise Schuller - Barras cristal - LED;75;149.00;;8435435308285
18631226;711132;Plaf?n Eloise Schuller - Barras cristal - Luz LED;8;586.00;;8435435308292
18631275;579814G9;L?mpara Espiral Schuller - colgante 1 bola - LED;7;955.00;;8435435305956
18631330;674125;L?mpara colgante de techo Egea. 2 Tama?os.  SCHULLER.;8;250.00;;
18631331;E-674238;L?mpara colgante de techo Egea. 2 Tama?os.  SCHULLER.;1;279.00;379,00;
18631333;579930G9;L?mpara Espiral Schuller - colgante 3 bolas - LED;2;2357.00;;8435435305970
18631809;391329;Sobremesa serie Flash Schuller - Tulipa abalorios -LED;51;82.00;;8435435303495
18631825;391540;Plaf?n Flash Schuller - 4 luces tulipas doble - LED;55;197.00;;8435435303518
18631828;391218;Aplique flash Schuller - abalarios cristal;54;62.00;;8435435303488
18631829;391870;Aplique Flash Schuller - 2 luces LED;70;115.00;;8435435303549
18631831;391653;Lampara Flash Schuller - 4 tulipas en linea - LED;26;216.00;;8435435303525
18631836;653422;L?mpara Fox Schuller - 4 colgantes vintage LED;61;350.00;;8435435313210
18631837;653608;Colgante Fox Schuller - Vintage 1 tulipa - LED;137;110.00;;8435435313227
18637566;690217;L?mpara Estratos Schuller - 3 bolas abalorios - LED;7;2002.00;;8435435324070
18640663;535190;Colgante Ishara Schuller - Vintage plata - LED;43;158.00;;8435435311858
18640717;648175;Lampara Isis Schuller - Colgante ?58cm oro - LED;25;350.00;;8435435313180
18640759;E-648091;Lampara Isis Schuller - Colgante blanco oro - LED;1;219.00;249,00;
18640792;648362;Aplique Isis Schuller - Blanco y oro - LED;30;86.00;;8435435313197
18640822;648436;Sobremesa Isis Schuller - blanco oro luz LED;27;110.00;;8435435313203
18641989;E-463310G9;Semiplaf?n Luppo Schuller - Abalorios cristal luz LED;1;262.00;317,00;
18642125;E-463411G9;Lampara Luppo Schuller - cromo pantalla - LED;1;269.00;354,00;
18642291;661418;Sobremesa Mercury Schuller grande cromo pantalla;57;115.00;;8435435324124
18642340;661917;Lampara de Pie Mercury Schuller - Cromo pantalla - LED;41;346.00;;8435435306946
18642827;392742;Lampara Kira Schuller - Colgante blanco - LED;14;304.00;;8435435313098
18644721;872611;Lampara Minerva Schuller - Imperio cromo ?35cm 6L;5;542.00;;8435435311353
18644729;872853;Lampara Minerva Schuller - Imperio cromo ?55cm 10L;36;1219.00;;8435435323578
18644759;872941;Lampara Minerva Schuller - Imperio cromo ?68cm 12L;19;1690.00;;8435435323738
18644765;872712;Aplique Minerva Schuller - cadenas de metal;22;206.00;;8435435311360
18644809;872593;Plaf?n Minerva Schuller - Lampara imperio 45cm LED;14;763.00;;8435435311346
18644811;872469;Plaf?n Minerva Schuller - Lampara imperio 68cm LED;16;1426.00;;8435435311339
18647073;662110;Sobremesa Mercury Schuller peque?o cromo pantalla;56;91.00;;8435435306984
18647119;663554;Colgante Mercury Schuller - Pantalla plata ?50cm. LED;41;202.00;;8435435307158
18647240;663676;Aplique Mercury Schuller - Bolas Transparentes;22;106.00;;8435435307189
18647267;664115;L?mpara Mercury Schuller - pantalla ovalada - LED;3;317.00;;8435435307233
18650299;160320;Aplique Onda Schuller - Abalorios cristal - LED;71;77.00;;8435435301019
18651752;124346;L?mpara Quios Schuller - 46cm. ? luz LED;31;250.00;;8435435312916
18651756;124465;L?mpara Quios Schuller - 54cm. ? luz LED;7;293.00;;8435435312923
18651793;E-164201;L?mpara Rex Schuller - Circular 6 brazos - LED;1;259.00;339,00;
18651816;E-164322;L?mpara Rex Schuller - 4 focos malla metal - LED;1;165.00;216,00;
18651829;E-164687;Aplique Rex Schuller - Cromo 2 tulipas - LED;2;81.00;119,00;8435435313005
18651841;783517;L?mpara Rocio Schuller - 5 Colgantes cromo LED;79;365.00;;8435435322885
18651844;783529;Lampara Rocio Schuller - 5 Colgantes oro - LED;0;384.00;;8435435322892
18651864;784326;Colgante Rocio Schuller - metal cromo 1 luz LED;273;91.00;;8435435310486
18651871;784347;Colgante Rocio Schuller - metal dorado 1 luz LED;202;101.00;;8435435310493
18651874;785635;L?mpara Rocio Schuller - 14 Colgantes cromo LED;14;1027.00;;8435435322908
18652312;160563;Plaf?n Saten Schuller - Lampara abalorios 43cm;62;302.00;;8435435301033
18653200;160674;Plaf?n Saten Schuller - Lampara abalorios 55cm;26;475.00;;8435435301040
18653991;161461;Sobremesa Saten Schuller - Pantalla abalorios - LED;27;288.00;;8435435301095
18654009;160785;Aplique Saten Schuller - Abalorios cristal - LED;9;91.00;;8435435301057
18654070;E-471724;Sobremesa Minos Schuller - Pan de plata - LED;1;149.00;178,00;
18657248;E-532475;L?mpara Star Schuller - Ovalada con abalorios - LED;1;489.00;787,00;
18661149;E-676346;L?mpara Vega Schuller - 3 Colgantes blancos LED;1;162.00;235,00;
18661290;E-581623;Lampara Xenia Schuller - Picos blancos - LED;1;221.00;418,00;
18661441;198321;Lampara Zone Schuller - Colgante blanco - LED;51;221.00;;8435435301507
18661478;198533;Plaf?n Zone Schuller - Metal blanco luz LED;31;182.00;;8435435301521
18661554;496135;Sobremesa Oliver Schuller - Peque?o Metal cromo - LED;4;120.00;;8435435322649
18661568;496248;Sobremesa Oliver Schuller - Grande Metal cromo - LED;5;158.00;;8435435312060
18665387;301012;Lampara Artemis Schuller - Redonda LED;8;456.00;;8435435302511
18665540;E-615340;Colgante Esparta Schuller - Hilos plata luz LED;1;229.00;269,00;
18665892;481016;L?mpara Verdi Schuller - Florentina 6 luces LED;39;470.00;;8435435304713
18665931;480531/S/A;Aplique Florentino Schuller - 2 luces LED;39;144.00;;8435435304690
18672129;810637;L?mpara Palace Schuller - 22 luces clasica LED;5;2952.00;2952,00;8435435323479
18710868;616148;L?mpara Crisol Schuller - 6 luces vintage - LED;1;475.00;;8435435306366
18710898;615926;Aplique Crisol Schuller - Vintage LED;98;91.00;;8435435306359
18711254;861632;Pintura Collage Blue jeans II.  SCHULLER.;16;67.00;;
18726170;E-682931;Cuadro Chandelier Schuller - Pintura lampara ara?a;1;185.00;279,00;
18738106;E-420321;Espejo Galaxia Schuller - pan de plata 77x54;0;125.00;;8435435303877
18741597;721745;Cuadro Partitura Schuller - Pintura piano;30;230.00;;8435435308520
18741636;732401;Cuadro Umbrellas Schuller - Pintura paraguas colores;20;134.00;;8435435308865
